Language,PSA_ID,Subject,Match,V_RT,V_Acc
English,CAN_020,site_CAN_020_1,N,570,0.875
English,CAN_020,site_CAN_020_1,Y,597,1
English,CAN_020,site_CAN_020_10,N,553,0.9166666666666666
English,CAN_020,site_CAN_020_10,Y,438.5,0.9166666666666666
English,CAN_020,site_CAN_020_100,N,686,0.9166666666666666
English,CAN_020,site_CAN_020_100,Y,625.5,1
English,CAN_020,site_CAN_020_11,N,535.5,1
English,CAN_020,site_CAN_020_11,Y,496,0.9166666666666666
English,CAN_020,site_CAN_020_12,N,572,0.9166666666666666
English,CAN_020,site_CAN_020_12,Y,559.5,1
English,CAN_020,site_CAN_020_13,N,523.5,1
English,CAN_020,site_CAN_020_13,Y,553,1
English,CAN_020,site_CAN_020_14,N,947,0.8333333333333334
English,CAN_020,site_CAN_020_14,Y,967,0.8333333333333334
English,CAN_020,site_CAN_020_15,N,680,1
English,CAN_020,site_CAN_020_15,Y,728.5,1
English,CAN_020,site_CAN_020_16,N,577.5,0.9166666666666666
English,CAN_020,site_CAN_020_16,Y,582,1
English,CAN_020,site_CAN_020_17,N,1122,0.9166666666666666
English,CAN_020,site_CAN_020_17,Y,1127,0.8333333333333334
English,CAN_020,site_CAN_020_18,N,523,1
English,CAN_020,site_CAN_020_18,Y,577,1
English,CAN_020,site_CAN_020_19,N,863.5,0.9166666666666666
English,CAN_020,site_CAN_020_19,Y,895,1
English,CAN_020,site_CAN_020_20,N,641.5,1
English,CAN_020,site_CAN_020_20,Y,578,0.9166666666666666
English,CAN_020,site_CAN_020_21,N,883.5,1
English,CAN_020,site_CAN_020_21,Y,898.5,0.9166666666666666
English,CAN_020,site_CAN_020_22,N,454.5,1
English,CAN_020,site_CAN_020_22,Y,481.5,0.9166666666666666
English,CAN_020,site_CAN_020_23,N,469,0.8333333333333334
English,CAN_020,site_CAN_020_23,Y,482,1
English,CAN_020,site_CAN_020_24,N,594,1
English,CAN_020,site_CAN_020_24,Y,650.5,1
English,CAN_020,site_CAN_020_25,N,558,0.8333333333333334
English,CAN_020,site_CAN_020_25,Y,510,1
English,CAN_020,site_CAN_020_26,N,536,1
English,CAN_020,site_CAN_020_26,Y,548.5,1
English,CAN_020,site_CAN_020_27,N,536.5,0.9166666666666666
English,CAN_020,site_CAN_020_27,Y,417.5,1
English,CAN_020,site_CAN_020_28,N,573,1
English,CAN_020,site_CAN_020_28,Y,724.5,1
English,CAN_020,site_CAN_020_29,N,700,1
English,CAN_020,site_CAN_020_29,Y,652,1
English,CAN_020,site_CAN_020_3,N,740,1
English,CAN_020,site_CAN_020_3,Y,832,1
English,CAN_020,site_CAN_020_30,N,451.5,1
English,CAN_020,site_CAN_020_30,Y,448.5,1
English,CAN_020,site_CAN_020_31,N,534.5,1
English,CAN_020,site_CAN_020_31,Y,583.5,1
English,CAN_020,site_CAN_020_32,N,706.5,0.9166666666666666
English,CAN_020,site_CAN_020_32,Y,746,1
English,CAN_020,site_CAN_020_33,N,463,1
English,CAN_020,site_CAN_020_33,Y,476,1
English,CAN_020,site_CAN_020_34,N,723,0.8333333333333334
English,CAN_020,site_CAN_020_34,Y,635,0.9166666666666666
English,CAN_020,site_CAN_020_35,N,510,0.8333333333333334
English,CAN_020,site_CAN_020_35,Y,545,0.9166666666666666
English,CAN_020,site_CAN_020_36,N,536.5,0.75
English,CAN_020,site_CAN_020_36,Y,563.5,0.75
English,CAN_020,site_CAN_020_37,N,533.5,0.8333333333333334
English,CAN_020,site_CAN_020_37,Y,574,0.9166666666666666
English,CAN_020,site_CAN_020_38,N,602,0.9166666666666666
English,CAN_020,site_CAN_020_38,Y,568.5,1
English,CAN_020,site_CAN_020_39,N,522,1
English,CAN_020,site_CAN_020_39,Y,453.5,1
English,CAN_020,site_CAN_020_4,N,601,1
English,CAN_020,site_CAN_020_4,Y,563.5,1
English,CAN_020,site_CAN_020_40,N,446.5,0.75
English,CAN_020,site_CAN_020_40,Y,415,0.8333333333333334
English,CAN_020,site_CAN_020_42,N,624,1
English,CAN_020,site_CAN_020_42,Y,645.5,0.9166666666666666
English,CAN_020,site_CAN_020_43,N,736,0.8333333333333334
English,CAN_020,site_CAN_020_43,Y,636,0.8333333333333334
English,CAN_020,site_CAN_020_44,N,552.5,0.8333333333333334
English,CAN_020,site_CAN_020_44,Y,763,0.8333333333333334
English,CAN_020,site_CAN_020_45,N,636,1
English,CAN_020,site_CAN_020_45,Y,695,1
English,CAN_020,site_CAN_020_46,N,580.5,1
English,CAN_020,site_CAN_020_46,Y,540,1
English,CAN_020,site_CAN_020_47,N,648,0.6666666666666666
English,CAN_020,site_CAN_020_47,Y,816,0.75
English,CAN_020,site_CAN_020_48,N,1081,0.6666666666666666
English,CAN_020,site_CAN_020_48,Y,981.5,0.75
English,CAN_020,site_CAN_020_49,N,617.5,0.8333333333333334
